label,link,text
0,https://illinois.edu/#content-main,Skip to main content
0,https://illinois.edu/index.html, 
0,https://directory.illinois.edu/search,Campus Directory
0,https://map.illinois.edu/view,Map
0,https://www.library.illinois.edu/,Library
0,https://giving.illinois.edu/, Give Now
0,https://illinois.edu/students/index.html,Students
1,https://illinois.edu/facultystaff/index.html,Faculty & Staff
0,https://illinois.edu/alumni/index.html,Alumni
0,https://illinois.edu/parents/index.html,Parents
0,https://illinois.edu/about/index.html,About
0,https://illinois.edu/about/leadership.html,Leadership
0,https://illinois.edu/about/facts.html,Facts
0,https://illinois.edu/about/research.html,Research Milestones
0,https://illinois.edu/about/awards.html,Nobels & Pulitzers
0,https://illinois.edu/about/rankings.html,Rankings
0,https://illinois.edu/about/tours.html,Campus Tours
0,https://illinois.edu/resources/calendars.html,Calendars
0,http://map.illinois.edu/view,Map
0,https://illinois.edu/admissions/index.html,Admissions
0,http://admissions.illinois.edu/,Undergraduate Admissions
0,http://apply.illinois.edu,Apply
0,http://admissions.illinois.edu/Discover/Academics/majors,Majors
0,http://blog.admissions.illinois.edu,Blogs
0,https://admissions.illinois.edu/Visit/virtual-visits,Virtual Visits
0,http://admissions.illinois.edu/Invest/tuition,Tuition
0,http://admissions.illinois.edu/Invest/financial-aid,Financial Aid
0,https://admissions.illinois.edu/request-more,Request Info
0,http://admissions.illinois.edu/contact,Contact Us
0,http://grad.illinois.edu/admissions,Graduate College
0,http://grad.illinois.edu/admissions/apply,Apply
0,http://grad.illinois.edu/program-contacts,Programs & Contacts
0,http://grad.illinois.edu/funding-jobs,Funding
0,http://studentaffairs.illinois.edu,Student Affairs
0,http://catalog.illinois.edu/undergraduate/,Undergraduate Catalog
0,http://catalog.illinois.edu/graduate/,Graduate Catalog
0,https://illinois.edu/academics/index.html,Academics
0,https://illinois.edu/academics/academics.html,Colleges & Schools
0,http://catalog.illinois.edu/general-information/,Programs of Study
0,https://illinois.edu/academics/honors.html,Honors Programs
0,http://online.illinois.edu,Illinois Online
0,https://courses.illinois.edu//,Course Explorer
0,http://registrar.illinois.edu/online-registration,Register for Class
0,http://senate.illinois.edu/a_calendar.asp,Academic Calendar
0,http://registrar.illinois.edu/transcripts,Transcripts
0,http://provost.illinois.edu,Provost
0,http://registrar.illinois.edu,Registrar
0,https://compass.illinois.edu,Compass
0,http://library.illinois.edu,Library
0,https://illinois.edu/research/index.html,Research
0,http://research.illinois.edu/,Vice Chancellor for Research and Innovation
0,http://news.illinois.edu/,Research News
0,http://research.illinois.edu/research-illinois/research-centers-and-programs,Research Centers
0,https://experts.illinois.edu/,Find an Illinois Expert (Illinois Research Connections)
0,https://undergradresearch.illinois.edu/,Office of Undergraduate Research
0,http://researchpark.illinois.edu/,Research Park
0,http://otm.illinois.edu/,Technology Commercialization
0,http://corporaterelations.illinois.edu/,Corporate Partnership Opportunities
0,http://calendars.illinois.edu/list/4757,Research Calendar
0,http://strategicplan.illinois.edu/,Strategic Plan
0,https://illinois.edu/outreach/index.html,Outreach
0,http://engage.illinois.edu/,Community
0,http://web.extension.illinois.edu/state/index.html,U of I Extension
0,http://web.extension.illinois.edu/state4h/,4-H Youth Development
0,http://engage.illinois.edu/filter/UpcomingEvents,Outreach Events
0,https://illinois.edu/international/index.html,International
0,http://international.illinois.edu/,Illinois International
0,http://isss.illinois.edu/students/prospective/,International Admissions
0,http://www.studyabroad.illinois.edu/,Study Abroad
0,http://international.illinois.edu/global-impact/offices-academics.html,Academic Programs
0,http://international.illinois.edu/global-impact/overview.html,Global Impact
0,https://isss.illinois.edu/students/prospective/index.html,International Student Resources
